今日日期,2024-02-16
公司,職稱,工作內容,薪資
玉山銀行_玉山商業銀行股份有限公司,【金融科技】機器學習工程師Machine Learning Engineer(經驗行員),"1. 開發機器學習模型來優化公司內部流程及提昇服務品質
2. 協助業務單位業問題並轉換成機器學習問題

104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。謝謝！
【網址：https:/",待遇面議
聚典資訊股份有限公司,機器學習工程師 Machine Learning Engineer,"5. 負責影像辨識數據等商品化之API撰寫，偕同前後端開發專案
6. 依專案需求處理部分數據與後端開發事項

【必要條件】
● 資訊工程科系尤佳，具備自主開發的能力
● 具備物件偵測(Object Detection)相關開發經驗
● 熟悉My",待遇面議
經貿聯網科技股份有限公司,數位創新實驗室-Fintech軟體工程師-產品研發,"創新產品。
        範圍包含所有以最新技術在公有雲及私有雲上開發軟體生命週期的各階段。    
        FINTECH的技術領域以雲技術、機器學習及區塊鏈為主。  
  2.	與優異的工程師合作，應用在學校已學習的開發軟體生命週期管",待遇面議
神通資訊科技股份有限公司,60086R2_AI高級工程師,"參與開發下一代機器學習產品，
並與一流的工程師團隊一起工作。您的工作將涉及Python模式設計、機器學習產品開發，大模型LLM調用與修改研發等。

※工作待遇：將依學經歷進行敘薪。",待遇面議
創星物聯科技股份有限公司,數據工程師（Data Engineer）,"新工作。作為數據工程師，你將成為我們數據科學團隊的重要一員，負責開發、維護和優化我們的數據基礎設施，確保我們能夠高效且準確地處理龐大的車聯網數據。

【工作內容】
1. 設計、建立和維護大規模的數據處理系統，以支持公司內部和客戶的需求。
2. 協助",待遇面議
眾匯智能健康股份有限公司,數據工程師,"運用科技改變健康照護模式！歡迎您一起來改變～

1.以線上數據擷取和解析技術，分析各種結構及非結構化資料
2.支援各營運團隊各種數據之開發運用
3.協助管理階層決策所需數據支持 
4.參與打造醫聯網數據雲平台",待遇面議
遊戲橘子數位科技股份有限公司,機器學習工程師 Machine Learning Engineer_0386,"Who we are:

Gamania Data Center is an expanding entity  deploying a large scale of user data source to assist our organization in having better insights of our customers and applying cutting-edge machine learning techniques in developing next generation products. As the leading role in the Entertainment industry, we focus on data sources in various fields, including  Gaming, E-Commerce, Mobile Payment and Media.  We have devoted ourselves to build an integrated infrastructure of big data analysis, recommendation systems and other machine learning applications including but not limited to image search, colorization, image-to-text, text-to-image and  style transfer . Now we are proud to present our service broadly applied to different kinds of data sources and the target market. 
As a machine learning engineer at Gamania Data Center, you will work closely with product managers, software engineers, and business partners in Gaming, E-Commerce, Mobile Payment or Media. You will also be in charge of  building data pipelines, machine learning modeling and applications deployment. Our mission is to provide industrial winning machine learning solutions to maintain Gamania’s industry leading dominance.


Responsibilities:

1. Work with business stakeholders and software engineers to build and maintain data pipelines for machine learning modeling and data analysis

2. Cooperate with software engineers in system design, algorithm developments and solutions/applications deployment with the consideration of quality and latency trade-off

3. Develop new or enhance current data and ETL pipeline from various sources such as server log or content metadata into the big data ecosystem

4. Improve current machine learning solutions based on data analysis of online performance data

5. Conduct research in ML/DL techniques such as computer vision, natural language processing, recommendation system or graph neural network, and cooperate with other machine learning engineers and software engineers to productize the research",待遇面議
財團法人人工智慧科技基金會,AI Engineer / 人工智慧工程師,"1、企業導入 AI 專案顧問：AI 專案開發，輔導與部署。
2、企業 AI 教育訓練講師：參與製作及優化課程教材，深入企業現場擔任技術分享講師。
3、課程/專案因企業地點不同，需配合出差。

#想了解AIF工程師的一天？請看 https://","月薪50,000~70,000元"
聯合報股份有限公司,【數據發展部】- 演算法工程師,"作為我們的演算法工程師，您將會負責研究和開發先進的機器學習演算法與模型應用，包含但不限於推薦系統、精準廣告、自然語言處理(NLP)等領域，協助報系各經營單位提升服務產品滿意度及使用率。促進集團演算模型應用與發展。

主要工作包括—
1.",待遇面議
104獵才顧問_一零四資訊科技股份有限公司,機器學習工程師 /Sr.ML Engineer | FG04009430,"機器學習、pytorch、tensorflow、Numpy、Pandas、Scikit-learn、matplotlib
我們正在擴大我們的團隊，尋找一位經驗豐富的專業人士，專注於系統演算法的優化和應用。
候選人將參與以下職務內容：
■進行系統演",待遇面議
